Date,Open,High,Low,Close,Adj Close,Volume
28/01/2011,10.6,10.6,10.6,10.6,8.038151,0
31/01/2011,10.58,10.58,10.58,10.58,8.045752,0
01/02/2011,10.55,10.55,10.55,10.55,8.022944,0
02/02/2011,10.54,10.54,10.54,10.54,8.015334,0
03/02/2011,10.51,10.51,10.51,10.51,7.992524,0
04/02/2011,10.47,10.47,10.47,10.47,7.962103,0
07/02/2011,10.47,10.47,10.47,10.47,7.962103,0
08/02/2011,10.43,10.43,10.43,10.43,7.931685,0
09/02/2011,10.46,10.46,10.46,10.46,7.954501,0
10/02/2011,10.43,10.43,10.43,10.43,7.931685,0
11/02/2011,10.46,10.46,10.46,10.46,7.954501,0
14/02/2011,10.47,10.47,10.47,10.47,7.962103,0
15/02/2011,10.48,10.48,10.48,10.48,7.969711,0
16/02/2011,10.48,10.48,10.48,10.48,7.969711,0
17/02/2011,10.5,10.5,10.5,10.5,7.984921,0
18/02/2011,10.5,10.5,10.5,10.5,7.984921,0
22/02/2011,10.54,10.54,10.54,10.54,8.015334,0
23/02/2011,10.54,10.54,10.54,10.54,8.015334,0
24/02/2011,10.55,10.55,10.55,10.55,8.022944,0
25/02/2011,10.56,10.56,10.56,10.56,8.030548,0
28/02/2011,10.57,10.57,10.57,10.57,8.059523,0
01/03/2011,10.58,10.58,10.58,10.58,8.067142,0
02/03/2011,10.55,10.55,10.55,10.55,8.044273,0
03/03/2011,10.51,10.51,10.51,10.51,8.013776,0
04/03/2011,10.55,10.55,10.55,10.55,8.044273,0
07/03/2011,10.54,10.54,10.54,10.54,8.036639,0
08/03/2011,10.52,10.52,10.52,10.52,8.021391,0
09/03/2011,10.55,10.55,10.55,10.55,8.044273,0
10/03/2011,10.6,10.6,10.6,10.6,8.0824,0
11/03/2011,10.59,10.59,10.59,10.59,8.074766,0
14/03/2011,10.6,10.6,10.6,10.6,8.0824,0
15/03/2011,10.61,10.61,10.61,10.61,8.090022,0
16/03/2011,10.65,10.65,10.65,10.65,8.120519,0
17/03/2011,10.63,10.63,10.63,10.63,8.105267,0
18/03/2011,10.63,10.63,10.63,10.63,8.105267,0
21/03/2011,10.6,10.6,10.6,10.6,8.0824,0
